city,country,continent,lon,lat,koppen_geiger_class,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group,wbt_continent_wbt
Hawalli,Kuwait,Asia,48,29.25,4,BWh,"Arid, desert, hot",164212,Medium (50k-500k),23.639977
Kuwait City,Kuwait,Asia,48,29.36708861,4,BWh,"Arid, desert, hot",2063000,Very Large (>1M),22.841938
Basra,Iraq,Asia,48,30.75,4,BWh,"Arid, desert, hot",870000,Large (500k-1M),21.509007
Khorramabad,Iran,Asia,48,33.41772152,6,BSh,"Arid, steppe, hot",375198,Medium (50k-500k),14.684895
Ardabil,Iran,Asia,48,38.25,7,BSk,"Arid, steppe, cold",414603,Medium (50k-500k),20.737556
Qabala,Azerbaijan,Asia,48,41.25,27,Dfc,"Cold, no dry season, cold summer",11867,Small (<50k),-1.1464779
Ambanja,Madagascar,Africa,48.375,-14.01862218,2,Am,"Tropical, monsoon",30621,Small (<50k),24.481007
Ambanja,Madagascar,Africa,48.375,-14.01862218,2,Am,"Tropical, monsoon",30621,Small (<50k),24.481007
Garoowe,Somalia,Africa,48.375,8.411173844,4,BWh,"Arid, desert, hot",2568,Small (<50k),25.052702
Garoowe,Somalia,Africa,48.375,8.411173844,4,BWh,"Arid, desert, hot",2568,Small (<50k),25.052702
Zanjan,Iran,Asia,48.375,36.4483928,7,BSk,"Arid, steppe, cold",357471,Medium (50k-500k),19.768978
Syzran,Russia,Europe,48.375,53.27065546,25,Dfa,"Cold, no dry season, hot summer",189338,Medium (50k-500k),10.716177
Syzran,Russia,Europe,48.375,53.27065546,25,Dfa,"Cold, no dry season, hot summer",189338,Medium (50k-500k),10.716177
Ambatondrazaka,Madagascar,Africa,48.75,-17.71996153,2,Am,"Tropical, monsoon",43134,Small (<50k),21.101116
Mandritsara,Madagascar,Africa,48.75,-15.85470387,3,Aw,"Tropical, savannah",9705,Small (<50k),22.725143
Ambanja,Madagascar,Africa,48.75,-13.98945045,2,Am,"Tropical, monsoon",30621,Small (<50k),24.481007
Garoowe,Somalia,Africa,48.75,8.393669128,4,BWh,"Arid, desert, hot",2568,Small (<50k),25.052702
Boosaaso,Somalia,Africa,48.75,11.25,4,BWh,"Arid, desert, hot",46969,Small (<50k),24.980127
Saywun,Yemen,Asia,48.75,15.85470387,4,BWh,"Arid, desert, hot",68747,Medium (50k-500k),15.408796
Saywun,Yemen,Asia,48.75,16.36357961,4,BWh,"Arid, desert, hot",68747,Medium (50k-500k),17.187487
Ahvaz,Iran,Asia,48.75,31,4,BWh,"Arid, desert, hot",996000,Large (500k-1M),12.400521
Dezful,Iran,Asia,48.75,32.64199444,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",315482,Medium (50k-500k),7.5594554
Khorramabad,Iran,Asia,48.75,33.45549738,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",375198,Medium (50k-500k),15.325535
Malayer,Iran,Asia,48.75,34.50724334,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",176573,Medium (50k-500k),11.097418
Hamadan,Iran,Asia,48.75,35,7,BSk,"Arid, steppe, cold",528256,Large (500k-1M),8.363816
Hamadan,Iran,Asia,48.75,35.06479941,7,BSk,"Arid, steppe, cold",528256,Large (500k-1M),8.363816
Zanjan,Iran,Asia,48.75,36.93491964,6,BSh,"Arid, steppe, hot",357471,Medium (50k-500k),8.744634
Lankaran,Azerbaijan,Asia,48.75,38.75,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",60180,Medium (50k-500k),1.4011939
Lankaran,Azerbaijan,Asia,48.75,39,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",60180,Medium (50k-500k),1.4011939
Şirvan,Azerbaijan,Asia,48.75,40.10298157,4,BWh,"Arid, desert, hot",70684,Medium (50k-500k),21.905436
Syzran,Russia,Europe,48.75,53,7,BSk,"Arid, steppe, cold",189338,Medium (50k-500k),10.716177
Sovetsk,Russia,Europe,48.75,57.50619007,25,Dfa,"Cold, no dry season, hot summer",17869,Small (<50k),18.257069
Qardho,Somalia,Africa,49.21875,9.104988856,4,BWh,"Arid, desert, hot",1341,Small (<50k),20.195835
Al Mukalla,Yemen,Asia,49.21875,14.70805736,4,BWh,"Arid, desert, hot",258132,Medium (50k-500k),17.482521
Malayer,Iran,Asia,49.21875,34.31877008,6,BSh,"Arid, steppe, hot",176573,Medium (50k-500k),2.309546
Şirvan,Azerbaijan,Asia,49.21875,39.92181607,4,BWh,"Arid, desert, hot",70684,Medium (50k-500k),4.906722
Maroantsetra,Madagascar,Africa,49.5,-15.14011169,1,Af,"Tropical, rainforest",38046,Small (<50k),23.867073
Maroantsetra,Madagascar,Africa,49.5,-15.14011169,1,Af,"Tropical, rainforest",38046,Small (<50k),23.867073
Hofuf,Saudi Arabia,Asia,49.5,25.23351384,4,BWh,"Arid, desert, hot",637389,Large (500k-1M),23.916206
Hofuf,Saudi Arabia,Asia,49.5,25.23351384,4,BWh,"Arid, desert, hot",637389,Large (500k-1M),23.916206
