city,country,continent,lon,lat,Change_Factor_DSI,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group
Nuevo Casas Grandes,Mexico,North America,-107.8125,30.38949705,0,BWh,"Arid, desert, hot",54826,Medium (50k-500k)
Villa Ahumada,Mexico,North America,-106.875,30.38949705,0,BWh,"Arid, desert, hot",9326,Small (<50k)
Alpine,United States of America,North America,-104.0625,30.38949705,0,BSh,"Arid, steppe, hot",6587,Small (<50k)
Austin,United States of America,North America,-97.5,30.38949705,0,Cfa,"Temperate, no dry season, hot summer",1161000,Very Large (>1M)
Bryan,United States of America,North America,-96.5625,30.38949705,0,Cfa,"Temperate, no dry season, hot summer",146692,Medium (50k-500k)
Conroe,United States of America,North America,-95.625,30.38949705,0,Cfa,"Temperate, no dry season, hot summer",41643,Small (<50k)
Lake Charles,United States of America,North America,-92.8125,30.38949705,0,Cfa,"Temperate, no dry season, hot summer",83821,Medium (50k-500k)
Lafayette,United States of America,North America,-91.875,30.38949705,0,Cfa,"Temperate, no dry season, hot summer",158214,Medium (50k-500k)
Baton Rouge,United States of America,North America,-90.9375,30.38949705,0,Cfa,"Temperate, no dry season, hot summer",422072,Medium (50k-500k)
Slidell,United States of America,North America,-90,30.38949705,0,Cfa,"Temperate, no dry season, hot summer",84239,Medium (50k-500k)
Gulfport,United States of America,North America,-89.0625,30.38949705,0,Cfa,"Temperate, no dry season, hot summer",82165,Medium (50k-500k)
Mobile,United States of America,North America,-88.125,30.38949705,0,Cfa,"Temperate, no dry season, hot summer",253466,Medium (50k-500k)
Panama City,United States of America,North America,-85.3125,30.38949705,0,Cfa,"Temperate, no dry season, hot summer",100072,Medium (50k-500k)
Tallahassee,United States of America,North America,-84.375,30.38949705,0,Cfa,"Temperate, no dry season, hot summer",221222,Medium (50k-500k)
Lake City,United States of America,North America,-82.5,30.38949705,0,Cfa,"Temperate, no dry season, hot summer",29395,Small (<50k)
Jacksonville,United States of America,North America,-81.5625,30.38949705,0,Cfa,"Temperate, no dry season, hot summer",988000,Large (500k-1M)
Agadir,Morocco,Africa,-9.375,30.38949705,0,BWh,"Arid, desert, hot",825467,Large (500k-1M)
El Goléa,Algeria,Africa,2.5,30.422535,0,BWh,"Arid, desert, hot",32049,Small (<50k)
Ismaïlia,Egypt,Africa,32.5,30.422535,0,BWh,"Arid, desert, hot",656135,Large (500k-1M)
Az Aubayr,Iraq,Asia,47.5,30.422535,0,BWh,"Arid, desert, hot",262219,Medium (50k-500k)
Behbehan,Iran,Asia,50,30.422535,0,BSh,"Arid, steppe, hot",85707,Medium (50k-500k)
Kerman,Iran,Asia,57.5,30.422535,0,BWh,"Arid, desert, hot",577514,Large (500k-1M)
Jingzhou,China,Asia,112.5,30.422535,0,Cfa,"Temperate, no dry season, hot summer",520000,Large (500k-1M)
Huangshi,China,Asia,115,30.422535,0,Cfa,"Temperate, no dry season, hot summer",688090,Large (500k-1M)
Hangzhou,China,Asia,120,30.422535,0,Cfa,"Temperate, no dry season, hot summer",3007000,Very Large (>1M)
Nacozari de García,Mexico,North America,-110,30.422535,0,BSh,"Arid, steppe, hot",11872,Small (<50k)
Nuevo Casas Grandes,Mexico,North America,-107.5,30.422535,0,BWh,"Arid, desert, hot",54826,Medium (50k-500k)
Austin,United States of America,North America,-97.5,30.422535,0,Cfa,"Temperate, no dry season, hot summer",1161000,Very Large (>1M)
Slidell,United States of America,North America,-90,30.422535,0,Cfa,"Temperate, no dry season, hot summer",84239,Medium (50k-500k)
Pensacola,United States of America,North America,-87.5,30.422535,0,Cfa,"Temperate, no dry season, hot summer",234384,Medium (50k-500k)
Lake City,United States of America,North America,-82.5,30.422535,0,Cfa,"Temperate, no dry season, hot summer",29395,Small (<50k)
El Goléa,Algeria,Africa,2.8125,30.625,1.031354176,BWh,"Arid, desert, hot",32049,Small (<50k)
El Alamein,Egypt,Africa,29.0625,30.625,0.879308344,BWh,"Arid, desert, hot",7400,Small (<50k)
Shibin el Kom,Egypt,Africa,30.9375,30.625,1.342034734,BWh,"Arid, desert, hot",182900,Medium (50k-500k)
Basra,Iraq,Asia,47.8125,30.625,2.132519707,BWh,"Arid, desert, hot",870000,Large (500k-1M)
Yasuj,Iran,Asia,51.5625,30.625,1.727947148,Csa,"Temperate, dry summer, hot summer (Mediterranean)",96786,Medium (50k-500k)
Kerman,Iran,Asia,57.1875,30.625,1.273555261,BWk,"Arid, desert, cold",577514,Large (500k-1M)
Chaman,Pakistan,Asia,66.5625,30.625,1.128896732,BWh,"Arid, desert, hot",88568,Medium (50k-500k)
Ludhiana,India,Asia,75.9375,30.625,0.946462847,BSh,"Arid, steppe, hot",1649000,Very Large (>1M)
Dehra Dun,India,Asia,77.8125,30.625,0.861743608,Cwa,"Temperate, dry winter, hot summer",714223,Large (500k-1M)
Chengdu,China,Asia,104.0625,30.625,0.882288366,Cwa,"Temperate, dry winter, hot summer",4123000,Very Large (>1M)
Nanchong,China,Asia,105.9375,30.625,1.163564101,Cwa,"Temperate, dry winter, hot summer",2174000,Very Large (>1M)
Yichang,China,Asia,111.5625,30.625,1.087805784,Cwa,"Temperate, dry winter, hot summer",875000,Large (500k-1M)
Xiantao,China,Asia,113.4375,30.625,1.089517119,Cfa,"Temperate, no dry season, hot summer",1708000,Very Large (>1M)
Anqing,China,Asia,117.1875,30.625,1.048187722,Cfa,"Temperate, no dry season, hot summer",580497,Large (500k-1M)
Jiaxing,China,Asia,120.9375,30.625,1.051037986,Cfa,"Temperate, no dry season, hot summer",988000,Large (500k-1M)
Nacozari de García,Mexico,North America,-109.6875,30.625,0.894160366,BSh,"Arid, steppe, hot",11872,Small (<50k)
Nuevo Casas Grandes,Mexico,North America,-107.8125,30.625,0.983555441,BWh,"Arid, desert, hot",54826,Medium (50k-500k)
Bryan,United States of America,North America,-96.5625,30.625,1.195664759,Cfa,"Temperate, no dry season, hot summer",146692,Medium (50k-500k)
Baton Rouge,United States of America,North America,-90.9375,30.625,1.070746248,Cfa,"Temperate, no dry season, hot summer",422072,Medium (50k-500k)
Gulfport,United States of America,North America,-89.0625,30.625,1.048635076,Cfa,"Temperate, no dry season, hot summer",82165,Medium (50k-500k)
Pensacola,United States of America,North America,-87.1875,30.625,0.936137213,Cfa,"Temperate, no dry season, hot summer",234384,Medium (50k-500k)
Valdosta,United States of America,North America,-83.4375,30.625,1.046423065,Cfa,"Temperate, no dry season, hot summer",61179,Medium (50k-500k)
Jacksonville,United States of America,North America,-81.5625,30.625,1.036414415,Cfa,"Temperate, no dry season, hot summer",988000,Large (500k-1M)
El Goléa,Algeria,Africa,2.5,30.62827225,0.955316037,BWh,"Arid, desert, hot",32049,Small (<50k)
Ajdabiya,Libya,Africa,20,30.62827225,0.699866191,BWh,"Arid, desert, hot",143833,Medium (50k-500k)
El Alamein,Egypt,Africa,28.75,30.62827225,0.719745111,BWh,"Arid, desert, hot",7400,Small (<50k)
